location,residential_complex,district,rooms_count,total_meters,floor,floors_count,underground,price,price_for_m
Москва,Остафьево ЖК,Фрунзенская,1,39.01,8,14,Щербинка,7221717,185124
Москва,Остафьево ЖК,Фрунзенская,1,34.64,2,12,Щербинка,7248108,209240
Москва,Новое Внуково ЖК,Фрунзенская,1,34.27,9,9,Рассказовка,7233334,211068
Москва,Молжаниново ЖК,Молжаниновский,1,35.83,14,14,Новоподрезково,7236227,201960
Москва,Эдельвейс ЖК,Фрунзенская,1,43.61,2,7,Рассказовка,7282870,167000
Москва,Никольские Луга ЖК,Южное Бутово,1,32.5,2,11,Щербинка,7290269,224315
Москва,Борисоглебское,Фрунзенская,1,40.8,1,3,Апрелевка,7262400,178000
Москва,Подольские Кварталы ЖК,Фрунзенская,1,38.38,2,9,Силикатная,7257044,189084
Москва,Квартал Западный ЖК,Фрунзенская,1,35.37,14,14,Рассказовка,7293011,206191
Москва,Ольховый Квартал ЖК,Фрунзенская,1,21.1,13,16,Ольховая,7253948,343789
Москва,Молжаниново ЖК,Молжаниновский,1,35.83,16,16,Новоподрезково,7264014,202735
Москва,Квартал Западный ЖК,Фрунзенская,1,34.03,12,14,Рассказовка,7280004,213929
Москва,Квартал Марьино ЖК,Фрунзенская,1,34.1,14,17,Филатов Луг,7252558,212684
Москва,Квартал Марьино ЖК,Фрунзенская,1,35.4,3,14,Филатов Луг,7346593,207530
Москва,Эко Бунино ЖК,Фрунзенская,1,32.74,12,23,Летово,7343915,224310
Москва,Остафьево ЖК,Фрунзенская,1,36.51,2,14,Щербинка,7308462,200176
Москва,Квартал Марьино ЖК,Фрунзенская,1,34.6,5,17,Филатов Луг,7320806,211583
Москва,Молжаниново ЖК,Молжаниновский,1,32.37,12,16,Новоподрезково,7331587,226493
Москва,Остафьево ЖК,Фрунзенская,1,35.81,2,12,Щербинка,7376860,205999
Москва,Никольские Луга ЖК,Южное Бутово,1,34.5,2,11,Щербинка,7430885,215387
Москва,Родные кварталы ЖК,Фрунзенская,1,32.4,3,9,Толстопальцево,7366496,227360
Москва,Зелёный парк,Крюково,1,32.3,5,28,Зеленоград — Крюково,7398605,229058
Москва,Алхимово ЖК,Фрунзенская,1,32.42,3,12,Щербинка,7361497,227066
Москва,Цветочные Поляны,Фрунзенская,1,35.3,12,14,Филатов Луг,7413398,210011
Москва,Родные кварталы ЖК,Фрунзенская,1,36.8,2,9,Толстопальцево,7414186,201472
Москва,Середневский Лес ЖК,Фрунзенская,1,34.3,2,9,Филатов Луг,7435896,216789
Москва,Никольские Луга ЖК,Южное Бутово,1,34.2,11,11,Щербинка,7429881,217247
Москва,Середневский Лес ЖК,Фрунзенская,1,33.1,3,9,Филатов Луг,7427308,224389
Москва,Квартал Марьино ЖК,Фрунзенская,1,35.4,7,14,Филатов Луг,7414136,209438
Москва,Подольские Кварталы ЖК,Фрунзенская,1,37.12,8,9,Силикатная,7401171,199384
Москва,Борисоглебское,Фрунзенская,1,45.9,1,3,Апрелевка,7435800,162000
Москва,Не указано,Южнопортовый,1,25.7,1,7,Кожуховская,7453000,290000
Москва,Подольские Кварталы ЖК,Фрунзенская,1,39.97,8,12,Силикатная,7491697,187432
Москва,Квартал Западный ЖК,Фрунзенская,1,37.1,13,14,Рассказовка,7470048,201349
Москва,Новое Внуково ЖК,Фрунзенская,1,38.27,1,9,Рассказовка,7483086,195533
Москва,Молжаниново ЖК,Молжаниновский,1,32.56,1,13,Новоподрезково,7493357,230139
Москва,Квартал Марьино ЖК,Фрунзенская,1,36.4,7,17,Филатов Луг,7497139,205965
Москва,Эдельвейс ЖК,Фрунзенская,1,44.88,2,7,Рассказовка,7494960,166999
Москва,Родные кварталы ЖК,Фрунзенская,1,37.0,2,10,Толстопальцево,7476817,202076
Москва,Середневский Лес ЖК,Фрунзенская,1,32.4,2,9,Филатов Луг,7461071,230279
Москва,Квартал Западный ЖК,Фрунзенская,1,35.77,9,12,Рассказовка,7493135,209480
Москва,Квартал Марьино ЖК,Фрунзенская,1,32.89,3,17,Филатов Луг,7483554,227532
Москва,Квартал Марьино ЖК,Фрунзенская,1,32.31,3,17,Филатов Луг,7482228,231576
Москва,Эко Бунино ЖК,Фрунзенская,1,38.17,18,22,Летово,7451338,195214
Москва,Цветочные Поляны,Фрунзенская,1,32.7,13,14,Филатов Луг,7539734,230572
Москва,Эко Бунино ЖК,Фрунзенская,1,34.61,8,14,Летово,7585614,219174
Москва,Квартал Западный ЖК,Фрунзенская,1,39.79,1,14,Рассказовка,7556598,189911
Москва,Смарт Гарден ЖК,поселок Газопровод,1,27.38,10,16,Корниловская,7511611,274346
Москва,Движение. Говорово ЖК,Фрунзенская,1,34.57,2,15,Румянцево,7551476,218440
Москва,Родные кварталы ЖК,Фрунзенская,1,36.1,5,9,Толстопальцево,7588834,210217
Москва,Зелёный парк,Крюково,1,34.6,27,28,Зеленоград — Крюково,7523216,217433
Москва,Никольские Луга ЖК,Южное Бутово,1,36.5,2,11,Щербинка,7552762,206924
Москва,Алхимово ЖК,Фрунзенская,1,34.35,3,15,Щербинка,7599636,221241
Москва,Алхимово ЖК,Фрунзенская,1,33.89,5,13,Щербинка,7582825,223748
